Дата запуска ПЛАН;Дата запуска ФАКТ;Заказчик/Сортамент;Изделие;№ заказа;Партия;Остаточная потребность;Обеспеченность;Проблема;Дата закрытия дефицита с учетом поступлений;Примечание МТО;Примечание ПО
2020-11-04;;Омский ЭМЗ;Изготовление оснастки, кондукторов, для оснащения производства (распоряжение ТД б/н от 02.11.;00334;1.0;;0.8008013846433941;;;;
;;Лист 6 ГОСТ 19903-2015 ст3 ГОСТ 380-2005;;;;129.942;;Не было в этом периоде;;;
;;Лист 4 ГОСТ 19903-2015 ст3 ГОСТ 380-2005;;;;11.532;;Не было в этом периоде;;;
;;Лист 3 ГОСТ 19903-2015 ст3 ГОСТ 380-2005;;;;410.05300000000005;;Не было в этом периоде;;;
;;Круг 12 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;;;;0.281;;Не было в этом периоде;;;
;;Круг 35 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;;;;1.716;;Не было в этом периоде;;;
;;Круг 40 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;;;;25.127;;Изменение потребности (14.382->25.127);;;
;;Уголок 100х100х7 ГОСТ 8509-93 ст3 ГОСТ 380-2005;;;;2.99;;Не было в этом периоде;;;
;;Уголок 50х50х4 ГОСТ 8509-93 ст3 ГОСТ 380-2005;;;;264.991;;Не было в этом периоде;;;
;;Проволока 6,0-О-С ГОСТ 3282-74;;;;17.462;;Не было в этом периоде;;;
;;Круг 45 ГОСТ 2590-2006 40, 45 ГОСТ 1050-2013;;;;2.059;;Не было в этом периоде;;;
;;Круг 26 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;;;;5.1;;Не было в этом периоде;;;
;;Круг 52 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;;;;9.412;;Не было в этом периоде;;;
;;Круг 6 ГОСТ 7417-75 40, 45 ГОСТ 1050-2013;;;;0.040999999999999995;;Не было в этом периоде;;;
;;Круг 8 ГОСТ 2590-2006 09Г2С-6 ГОСТ 19281-2014;;;;0.055;;Не было в этом периоде;;;
;;Лист 25 ГОСТ 19903-2015 09Г2С-6 ГОСТ 19281-2014;;;;14.783;;Не было в этом периоде;2021-02-14;;
;;Лист 30 ГОСТ 19903-2015 09Г2С-6 ГОСТ 19281-2014;;;;24.468000000000004;;Не было в этом периоде;;;
;;Труба 60х4 ГОСТ 8732-78 ст3 ГОСТ 380-2005;;;;187.03099999999998;;Не было в этом периоде;;;
;;Труба 89х4 ТУ 14-161-184-2000 09Г2С-12 ГОСТ 19281-2014;;;;7.374;;Не было в этом периоде;;;
;;Шайба С.30 Гл ГОСТ 11371-78;;;;0.505;;Не было в этом периоде;;;
;;Сетка 50-ОБ ГОСТ 5336-80;;;;29.535;;Не было в этом периоде;;;
2021-01-09;2021-01-08 00:00:00;СУРГУТНЕФТЕГАЗ ПАО;Фундамент Ф4.35-4-20/20 Проект: 3.407.9-146;022242;1.0;;0.9878086974957277;;;;
;;Шпилька по чертежу М36х300.09Г2С-15.бп 3.407.9-146.3-05КМД;;;;45.543;;;;;
2021-01-15;2021-01-15 00:00:00;СКН ООО;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;022122;1.0;;0.9985345405847187;;2021-02-14;;
;;Лист 25 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;208.368;;Не было в этом периоде;2021-02-14;;
2021-01-17;2021-01-20 00:00:00;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;Угловая анкерная опора УАс10-1 Проект: 25.0074;021366;1.0;;0.9944375170930464;;;;
;;Серьга СРС-7-16А ТУ34.13.10272-88;;;;264.0;;Не было в этом периоде;;;
2021-01-17;;ПРОМЖИЛСТРОЙ ООО;Ростверк   РС-3 Проект: 0117/20-ВЛ307В2-00-АС;021945;1.0;;0.8145281441912858;;;;
;;Швеллер 30 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;;;;944.240000000001;;Не было в этом периоде;;;
2021-01-20;2021-01-20 00:00:00;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;Анкерная (концевая) опора Ас10-1 Проект: 25.0074;021365;1.0;;0.9891456992915685;;;;
