Номенклатура металла;Потребность;Комментарий МТО
В работе;0.0;
Не в работе;97155.72200000001;
Втулка 42х40 - d23;144.0;
Гайка М16-6h.5.Гл ГОСТ 5915-70;143.74500000000003;
Круг 12 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.292;
Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;853.2;
Круг 16 ГОСТ 2590-2006 С345-6 ГОСТ 27772-2015;90.06200000000001;
Круг 25 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.9420000000000001;
Круг 26 ГОСТ 2590-2006 40 ГОСТ 1050-88;194.667;
Круг 28 ГОСТ 2590-2006 40 ГОСТ 1050-88;225.667;
Круг 32 ГОСТ 2590-2006 40 ГОСТ 1050-88;274.66700000000003;
Лист 10 ГОСТ 19903-74 ст3 ГОСТ 380-2005;1.661;
Лист 12 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;138.20600000000002;
Лист 12 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;5677.679;
Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;818.762;
Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;390.95300000000003;
Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;196.83900000000003;
Лист 20 ГОСТ 19903-74 ст3 ГОСТ 380-2005;8.971;
Лист 30 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;1012.208;
Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;3529.445;
Лист 5 ГОСТ 19903-74 09Г2С-6 ГОСТ 19281-2014;473.814;
Лист 6 ГОСТ 19903-74 ст3 ГОСТ 380-2005;0.836;
Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;747.7540000000001;
Лист 8 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;3549.536;
Лист ГЦ(Прокат 03) 1,5 Ц350 ГОСТ Р 52246-2016;66.366;
Лист ромб 4 ГОСТ 8568-77 ст3 ГОСТ 380-2005;102.156;
Подшипник 80212 ГОСТ 7242-81;25.184;
Труба 219х10 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;3072.5299999999997;
Труба 219х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;116.564;
Труба ДУ 20х26,8х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;27.276;
Труба профильная 140х140х8 ГОСТ 30245-2003 09Г2С-12 ГОСТ 19281-2014;362.178;
Труба профильная 180х140х6 ГОСТ 30245-94 ст3 ГОСТ 380-2005;38.088999999999935;
Труба профильная 40х40х3 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-2014;41.012;
Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1016.6389999999994;
Уголок 100х100х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;1032.9179999999997;
Уголок 50х50х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;2415.376;
Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;906.4310000000003;
Уголок 50х50х5 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;4145.184;
Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;11840.103;
Уголок 63х63х5 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;31344.861999999997;
Шайба 16 Гл ГОСТ 11371-78;0.023;
Шайба 27 Гл ГОСТ 11371-78;4.357;
Шайба 27 Гл ГОСТ 6402-70;3.1;
Швеллер 14 П ГОСТ 8240-89 ст3 ГОСТ 27772-2005;710.12;
Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;369.471;
Швеллер 18 П ГОСТ 8240-89 09Г2С-6 ГОСТ 19281-2014;274.526;
Швеллер 20 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;111.56200000000001;
Швеллер 24 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;11512.436;
Швеллер 24 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19821-2014;5674.64;
Швеллер 30 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;395.733;
Шпилька по чертежу 16х1000.ст3.ГЦ Ст-2019-06;763.02;
Шпилька по чертежу М42х250.09Г2С-6.бп 3.407.9-146.3-05КМД;1196.3600000000001;
Шпилька по чертежу М42х320.09Г2С-6.бп 3.407.9-146.3-05КМД;1113.6;
ИТОГО;97155.72200000001;
