Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит;Остаток дефицита;Списание из Цент склада;Списание из ТН;Списание из Поступлений;ТН
2020-01-23;0009-1;0;0;Круг 40 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.811;0.811;0.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Круг 16 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;0.122;0.122;0.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Круг 35 ГОСТ 2590-2006 45 ГОСТ 1050-88;1.678;1.678;0.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Гайка М24-6h.5.Гл ГОСТ 5915-70;0.246;0.0;0.246;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Круг 10 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.024;0.024;0.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Уголок 25х25х4 ГОСТ 8509-86 ст3 ГОСТ 380-2005;0.189;0.189;0.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Круг 50 ГОСТ 2590-2006 45 ГОСТ 1050-88;2.539;1.5390000000000001;1.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Круг 30 ГОСТ 2590-2006 45 ГОСТ 1050-88;3.007;3.007;0.0;0.0;0.0;0.0
2020-02-07;0023-1;0;0;Шайба 27 Гл ГОСТ 11371-78;4.357;0.0;4.357;0.0;0.0;0.0
2020-02-07;0023-1;0;0;Шайба 27 Гл ГОСТ 6402-70;3.1;0.0;3.1;0.0;0.0;0.0
2020-02-07;0023-1;0;0;Гайка М27-6h.5.Гл ГОСТ 5915-70;18.054;18.054;0.0;0.0;0.0;0.0
2020-02-17;0016-1;0;0;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;28.189;0.0;28.189;0.0;0.0;0.0
2020-02-28;0030-1;0;0;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;77.227;0.0;77.227;0.0;0.0;0.0
