Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-15;02519-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба ДУ 25х33,5х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;56.47
2020-05-15;02530-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба 530х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;32.121
2020-05-15;02528-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба 530х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;96.363
2020-05-15;02507-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба ДУ 25х33,5х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;28.235
2020-05-18;02657-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;783.048
2020-05-20;02652-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;65.254
2020-05-20;02649-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;195.762
2020-05-20;02651-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;195.762
2020-05-20;02650-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;195.762
2020-05-20;02622-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №50 от 30.03.2020;Труба 219х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;130.508
2020-05-21;02647-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;261.016
2020-05-21;02646-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;195.762
2020-05-22;02648-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;717.794
2020-05-23;02630-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №51 от 30.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;130.508
2020-05-23;02631-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №51 от 30.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;261.016
