Номер победы	Партия	Дата запуска	Код	Номенклатура	Количество в заказе	Перемещено	Дефицит	Обеспечена МП	Обеспечена метизы	Пометка удаления	Заказчик	Спецификация	Изделие
921922	1	27.01.2020	4440	Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75	0,06666667	63,774	-63,70733333	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11269	Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	126,92470588	128	-1,07529412	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11280	Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	287,78181818	295	-7,21818182	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	14979	Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	32,50909091	33	-0,49090909	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	15180	Лист 30 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	288,93506494		288,93506494	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11270	Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014	77,50322581	80	-2,49677419	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11268	Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	93,1483871		93,1483871	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11275	Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	692,64782609		692,64782609	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11278	Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	369,95483871	370	-0,04516129	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
921922	1	27.01.2020	11281	Уголок 100х100х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	315,25434783	254	61,25434783	Да	Нет	Нет	ИНТЭКО ООО	№102/12-19, Спецификация №  1 от 23.12.2019	921922//Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001
