Артикул	Номенклатура	Ед. изм.	Количество
8088	Арматура 10 11700-А500С ГОСТ Р 52544-2006 ст3пс ГОСТ 380-2005	кг	250,000
14270	Двутавр 20 Ш1 ГОСТ 57837-2017 С255-5 ГОСТ 27772-2015	кг	734,400
14527	Двутавр 20 Ш1 ГОСТ 57837-2017 ст3сп/пс-5 ГОСТ 380-2005	кг	5 140,800
709	Двутавр 20 Ш1 СТО АМСЧ 20-93 09Г2С-1 ГОСТ 19281-89	кг	700,740
13481	Двутавр 30 Ш1 СТО АМСЧ 20-93 С255-1 ГОСТ 27772-2015	кг	1 828,960
2972	Двутавр 36 ДБ1 ГОСТ 26020-83 С245-1 ГОСТ 27772-88	кг	2 946,000
14498	Двутавр 40 Б1 ГОСТ 57837-2017 С255-5 ГОСТ 27772-2015	кг	679,200
13669	Двутавр 40 Ш1 СТО АМСЧ 20-93 С255-5 ГОСТ 27772-2015	кг	2 126,400
15312	Круг 10 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	143,000
15316	Круг 12 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	264,000
17864	Круг 14 ГОСТ 2590-2006 С255-1 ГОСТ 27772-2015	кг	2 540,000
12956	Круг 16 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	2 236,580
577	Круг 160 ГОСТ 2590-88 ст3сп ГОСТ 380-2005	кг	851,000
17663	Круг 18 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	120,000
12704	Круг 18 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	465,000
15314	Круг 20 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	5 515,940
15313	Круг 22 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	774,000
16791	Круг 24 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	388,200
2810	Круг 25 ГОСТ 2590-88 ст3сп ГОСТ 380-2005	кг	4 618,000
18161	Круг 26 ГОСТ 2590-2006 45 ГОСТ 1050-88	кг	
18650	Круг 28 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	58,000
15082	Круг 30 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	546,000
6639	Круг 30 ГОСТ 2590-88 09Г2С-15 ГОСТ 19281-89	кг	134,000
18476	Круг 32 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014	кг	76,000
15807	Круг 32 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	28,000
169	Круг 35 ГОСТ 2590-88 09Г2С-1 ГОСТ 19281-89	кг	950,000
9514	Круг 36 ГОСТ 2590-88 С345-1 ГОСТ 27772-88	кг	1 348,000
16467	Круг 38 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	82,000
16623	Круг 40 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014	кг	528,000
12055	Круг 42 ГОСТ 2590-88 09Г2С-15 ГОСТ 19281-2014	кг	5 027,000
176	Круг 42 ГОСТ 2590-88 С345-3 ГОСТ 27772-88	кг	60,000
00-00001354	Круг 45 ГОСТ 2590-2006 38ХН3МА ГОСТ 4543-71	кг	31,000
580	Круг 45 ГОСТ 2590-88 09Г2С-1 ГОСТ 19281-89	кг	348,000
16468	Круг 48 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	34,000
73	Круг 48 ГОСТ 2590-88 С345-3 ГОСТ 27772-88	кг	738,000
15098	Круг 50 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	1 756,000
8685	Круг 50 ГОСТ 2590-88 С345-3 ГОСТ 27772-88	кг	1 894,000
172	Круг 56 ГОСТ 2590-88 09Г2С-1 ГОСТ 19281-89	кг	1 526,000
343	Круг 56 ГОСТ 2590-88 ст3сп ГОСТ 380-2005	кг	3 008,000
571	Круг 6,5 ГОСТ 2590-88 ст3сп ГОСТ 380-2005	кг	6,000
570	Круг 60 ГОСТ 2590-88 09Г2С-1 ГОСТ 19281-89	кг	
18755	Круг 65 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	106,000
15103	Круг 70 ГОСТ 2590-2006 45 ГОСТ 1050-88	кг	
15550	Круг 70 ГОСТ 2590-2006 ст3 ГОСТ 380-2005	кг	
15038	Круг 80 ГОСТ 2590-88 09Г2С-12 ГОСТ 19281-2014	кг	152,000
7598	Лист 0,5 ГОСТ 19903-2015 AISI-430 ГОСТ 5582-75	кг	63,840
11827	Лист 10 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	8 478,000
302	Лист 10 ГОСТ 19903-74 ст3сп ГОСТ 380-2005	кг	
11834	Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	18 651,600
303	Лист 12 ГОСТ 19903-74 ст3сп ГОСТ 380-2005	кг	2 543,400
12061	Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	
160	Лист 18 ГОСТ 19903-74 09Г2С-1 ГОСТ 19281-89	кг	2 543,400
11828	Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	14 130,000
13208	Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015	кг	2 317,320
13733	Лист 25 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	3 249,900
308	Лист 25 ГОСТ 19903-74 ст3сп ГОСТ 380-2005	кг	1 978,200
187	Лист 3 ГОСТ 19903-74 09Г2С-1 ГОСТ 19281-89	кг	9 724,158
12056	Лист 3 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	1 271,700
13738	Лист 30 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	19 075,500
00-00001746	Лист 4 ISO 9001-2008 08х18Н10Т ГОСТ 7350-77	кг	282,600
14652	Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014	кг	1 594,963
11822	Лист 4 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	19 216,800
11825	Лист 5 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014	кг	3 455,963
3995	Лист 5 ГОСТ 19903-74 ст3сп ГОСТ 380-2005	кг	706,500
