Дата;Номенклатура;Количество;Склад;Сортамент;ГОСТ Сортамента;Марка;Категория;Марка-категория;Вид;ГОСТ_сортамента_без_года
2021-01-22;Лист 0,5 ГОСТ 19903-2015 AISI-430 (12Х17) ГОСТ 5582-75;249.6;Поступления;Лист 0,5;ГОСТ 19903-2015;AISI-430 (12Х17);;AISI-430 (12Х17)-;Лист;ГОСТ 19903
2021-02-14;Уголок 140х140х9 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;52174.08;Поступления;Уголок 140х140х9;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Уголок 160х160х16 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;8782.56;Поступления;Уголок 160х160х16;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Швеллер 12 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;2121.6;Поступления;Швеллер 12 У;ГОСТ 8240-89;09Г2С;15;09Г2С-15;Швеллер;ГОСТ 8240
2021-02-14;Лист 16 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;38433.6;Поступления;Лист 16;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Лист 20 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;15543.0;Поступления;Лист 20;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Лист 25 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;1766.25;Поступления;Лист 25;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Лист 5 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;706.5;Поступления;Лист 5;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Уголок 50х50х5 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;4704.96;Поступления;Уголок 50х50х5;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 45х45х4 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;23783.76;Поступления;Уголок 45х45х4;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 75х75х8 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;324.72;Поступления;Уголок 75х75х8;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;15720.96;Поступления;Уголок 80х80х6;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 140х140х9 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;10947.24;Поступления;Уголок 140х140х9;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 160х160х10 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;10065.36;Поступления;Уголок 160х160х10;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Швеллер 10 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;2577.0;Поступления;Швеллер 10 П;ГОСТ 8240-89;09Г2С;15;09Г2С-15;Швеллер;ГОСТ 8240
2021-02-14;Швеллер 18 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;12518.4;Поступления;Швеллер 18 П;ГОСТ 8240-89;09Г2С;15;09Г2С-15;Швеллер;ГОСТ 8240
2021-02-14;Уголок 125х125х9 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;17023.2;Поступления;Уголок 125х125х9;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Уголок 90х90х7 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;7866.24;Поступления;Уголок 90х90х7;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;40026.96;Поступления;Уголок 70х70х6;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 80х80х6 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;5475.84;Поступления;Уголок 80х80х6;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 45х45х4 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;19000.8;Поступления;Уголок 45х45х4;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 45х45х5 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;930.12;Поступления;Уголок 45х45х5;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;3294.0;Поступления;Уголок 50х50х4;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;99740.16;Поступления;Уголок 63х63х5;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;26377.92;Поступления;Уголок 70х70х6;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 125х125х9 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;70999.2;Поступления;Уголок 125х125х9;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Лист 14 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;989.1;Поступления;Лист 14;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Лист 20 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;5652.0;Поступления;Лист 20;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;18934.2;Поступления;Лист 4;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Уголок 70х70х6 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;14262.48;Поступления;Уголок 70х70х6;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Лист 10 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;1413.0;Поступления;Лист 10;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Лист 12 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;2543.4;Поступления;Лист 12;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-14;Уголок 100х100х7 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;2330.64;Поступления;Уголок 100х100х7;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Уголок 100х100х8 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;16758.0;Поступления;Уголок 100х100х8;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Уголок 110х110х8 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;31428.0;Поступления;Уголок 110х110х8;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-14;Уголок 160х160х16 ГОСТ 8509-93 С345-6 ГОСТ 27772-2015;8320.32;Поступления;Уголок 160х160х16;ГОСТ 8509-93;С345;6;С345-6;Уголок;ГОСТ 8509
2021-02-14;Уголок 100х100х8 ГОСТ 8509-93 09Г2С-15 ГОСТ 19281-2014;19992.0;Поступления;Уголок 100х100х8;ГОСТ 8509-93;09Г2С;15;09Г2С-15;Уголок;ГОСТ 8509
2021-02-28;Лист 6 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;10173.6;Поступления;Лист 6;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-28;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;40129.2;Поступления;Лист 4;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
2021-02-28;Лист 8 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;10173.6;Поступления;Лист 8;ГОСТ 19903-2015;09Г2С;15;09Г2С-15;Лист;ГОСТ 19903
