Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Заказ-Партия;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
0;90235;1;2019-12-04;9689;Лист 8 ГОСТ 19903-74 ст3 ГОСТ 380-2005;21.26117647;22.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
1;90235;1;2019-12-04;15110;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;342.26021505;343.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
2;90235;1;2019-12-04;9686;Лист 10 ГОСТ 19903-74 ст3 ГОСТ 380-2005;7.38823529;0.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
3;90235;1;2019-12-04;10893;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;794.02;936.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
4;90235;1;2019-12-04;18231;Уголок 63х63х4 ГОСТ 8509-86 ст3 ГОСТ 380-2005;359.7827957;360.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
5;90235;1;2019-12-04;9692;Уголок 63х63х5 ГОСТ 8509-86 ст3 ГОСТ 380-2005;627.93548387;406.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
6;90235;1;2019-12-04;15090;Швеллер 10 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;1019.95268817;1020.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
7;90235;1;2019-12-04;15114;Швеллер 16 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;5960.64666667;4017.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
8;90235;1;2019-12-04;00-00001615;Лист 4 ГОСТ 19903-74 12Х18Н10Т ГОСТ 7350-77;4428.68817204;4183.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
9;90235;1;2019-12-04;18636;Труба 89х5 ГОСТ 9940-81 12Х18Н10Т ГОСТ 7350-77;2.57176471;3.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
10;921180;1;2019-12-08;4440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.17777778;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
11;921180;1;2019-12-08;13978;Лист 10 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;1075.69411765;1076.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
12;921180;1;2019-12-08;14026;Лист 12 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;103.24137931;104.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
13;921180;1;2019-12-08;13980;Лист 4 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;965.45698925;966.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
14;921180;1;2019-12-08;13994;Лист 6 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;170.03409091;74.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
