Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
3134;90235;1;2019-12-04;00000009689;Лист 8 ГОСТ 19903-74 ст3 ГОСТ 380-2005;21.261;22.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3135;90235;1;2019-12-04;00000015110;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;342.26;343.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3136;90235;1;2019-12-04;00000009686;Лист 10 ГОСТ 19903-74 ст3 ГОСТ 380-2005;7.388;0.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3137;90235;1;2019-12-04;00000010893;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;794.02;936.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3138;90235;1;2019-12-04;00000018231;Уголок 63х63х4 ГОСТ 8509-86 ст3 ГОСТ 380-2005;359.783;360.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3139;90235;1;2019-12-04;00000009692;Уголок 63х63х5 ГОСТ 8509-86 ст3 ГОСТ 380-2005;627.935;406.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3140;90235;1;2019-12-04;00000015090;Швеллер 10 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;1019.953;1020.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3141;90235;1;2019-12-04;00000015114;Швеллер 16 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;5960.647;4017.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3142;90235;1;2019-12-04;00-00001615;Лист 4 ГОСТ 19903-74 12Х18Н10Т ГОСТ 7350-77;4428.688;4183.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3143;90235;1;2019-12-04;00000018636;Труба 89х5 ГОСТ 9940-81 12Х18Н10Т ГОСТ 7350-77;2.572;3.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
3144;90235;1;2019-12-04;00-00001617;Болт самоанкерующийся распорный БСР 16х150 УХЛ3 ГОСТ 28778-90;0.768;0.0;0.0;1.0;0.0;0;0;0;0.0;0;Заготовка на комплекс охлаждающей ванны;90235-1;0.0;0.0;0.0;0.0;0.0
460;921180;1;2019-12-08;00000004440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.18;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;921180-1;0.0;0.0;0.0;0.0;0.0
461;921180;1;2019-12-08;00000013978;Лист 10 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;1075.695;1076.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;921180-1;0.0;0.0;0.0;0.0;0.0
