Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
5106;90254;1;2020-01-01;00-00001932;Шпилька по чертежу 16х1000.ст3.ГЦ Ст-2019-06;750.5;0.0;0.0;1.0;0.0;0;0;0;0.0;0;Упаковка январь (1шт);90254-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5105;90254;1;2020-01-01;00000000359;Гайка М16-6h.5.Гл ГОСТ 5915-70;142.918;0.0;0.0;1.0;0.0;0;0;0;0.0;0;Упаковка январь (1шт);90254-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5104;90254;1;2020-01-01;00000015111;Труба профильная 180х140х6 ГОСТ 30245-94 ст3 ГОСТ 380-2005;1194.889;0.0;0.0;1.0;0.0;0;0;0;0.0;0;Упаковка январь (1шт);90254-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5103;90254;1;2020-01-01;00000015110;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;3510.538;0.0;0.0;1.0;0.0;0;0;0;0.0;0;Упаковка январь (1шт);90254-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
702;921988;2;2020-01-03;00000013220;Уголок 90х90х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;12689.243;0.0;0.0;1.0;0.0;" ""ЛУКОЙЛ-Западная Сибирь""ООО";19С4695 от 24.01.2020, Спецификация №2 от 24.01.2020;0;0.0;0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;921988-2;1.0;0.0;0.0;0.0;0.0;0.0;0.0
701;921988;2;2020-01-03;00000013219;Уголок 70х70х6 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;17243.646;0.0;0.0;1.0;0.0;" ""ЛУКОЙЛ-Западная Сибирь""ООО";19С4695 от 24.01.2020, Спецификация №2 от 24.01.2020;0;0.0;0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;921988-2;1.0;0.0;0.0;0.0;0.0;0.0;0.0
700;921988;2;2020-01-03;00000010749;Уголок 140х140х10 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;7772.471;0.0;0.0;1.0;0.0;" ""ЛУКОЙЛ-Западная Сибирь""ООО";19С4695 от 24.01.2020, Спецификация №2 от 24.01.2020;0;0.0;0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;921988-2;1.0;0.0;0.0;0.0;0.0;0.0;0.0
699;921988;2;2020-01-03;00000013787;Лист 25 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;1335.271;0.0;0.0;1.0;0.0;" ""ЛУКОЙЛ-Западная Сибирь""ООО";19С4695 от 24.01.2020, Спецификация №2 от 24.01.2020;0;0.0;0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;921988-2;1.0;0.0;0.0;0.0;0.0;0.0;0.0
698;921988;2;2020-01-03;00000013778;Лист 16 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;1308.174;0.0;0.0;1.0;0.0;" ""ЛУКОЙЛ-Западная Сибирь""ООО";19С4695 от 24.01.2020, Спецификация №2 от 24.01.2020;0;0.0;0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;921988-2;1.0;0.0;0.0;0.0;0.0;0.0;0.0
697;921988;2;2020-01-03;00000013777;Лист 10 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;3417.183;0.0;0.0;1.0;0.0;" ""ЛУКОЙЛ-Западная Сибирь""ООО";19С4695 от 24.01.2020, Спецификация №2 от 24.01.2020;0;0.0;0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;921988-2;1.0;0.0;0.0;0.0;0.0;0.0;0.0
