Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Статус;Изделие.Вид номенклатуры;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
756;02957;1;2020-12-31;00000011267;Лист 16 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;48.2;48.2;0.0;1.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
757;02957;1;2020-12-31;00000011269;Лист 8 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;83.662;83.662;0.0;1.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
758;02957;1;2020-12-31;00000012146;Уголок 63х63х5 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;199.02;199.02;0.0;1.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
759;02957;1;2020-12-31;00000015135;Уголок 50х50х4 ГОСТ 8509-93 09Г2С-12 ГОСТ 19281-2014;209.82;209.82;0.0;1.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
177;02756;29;2020-08-30;00000011827;Лист 10 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;904.064;904.064;0.0;1.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
178;02756;29;2020-08-30;00000011828;Лист 20 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;9043.904;9043.904;0.0;1.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
179;02756;29;2020-08-30;00000011829;Лист 8 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;43.968;43.968;0.0;1.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
180;02756;29;2020-08-30;00000012061;Лист 16 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;4368.08;4368.08;0.0;1.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181;02756;29;2020-08-30;00000015316;Круг 12 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014;50.752;50.752;0.0;1.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
182;02756;29;2020-08-30;00000000659;Шайба 20 Гл ГОСТ 11371-78;1.104;1.104;0.0;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
