Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-01-23;3353;0008-1;Круг 70 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.0;119.416;0.0;119.416;Центральный склад;2020-02-19;Круг 70 ГОСТ 2590-2006 45 ГОСТ 1050-88;132.0;12.584000000000003;119.416;2020-01-23
2020-01-23;3356;0008-1;Круг 110 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;0.0;11.219;0.0;11.219;Центральный склад;2020-02-19;Круг 110 ГОСТ 2590-2006 ст3 ГОСТ 380-2005;23.0;11.781;11.219;2020-01-23
2020-01-24;2370;921971-1;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;230.58;0.0;230.58;Центральный склад;2020-02-19;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1380.349;1149.769;230.58;2020-01-24
2020-02-04;1710;921979-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.476;0.0;0.476;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;196.256;195.78;0.476;2020-02-04
2020-02-04;1711;921979-1;Лист 12 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;103.026;0.0;103.026;Центральный склад;2020-02-19;Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1695.6;1592.5739999999998;103.026;2020-02-04
2020-02-04;1712;921979-1;Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;331.47;0.0;331.47;Центральный склад;2020-02-19;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1413.0;1081.53;331.47;2020-02-04
2020-02-04;1714;921979-1;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;20.335;0.0;20.335;Центральный склад;2020-02-19;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;423.9;403.565;20.335;2020-02-04
2020-02-04;1717;921979-1;Лист 16 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;445.972;0.0;445.972;Центральный склад;2020-02-19;Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;3391.2;2945.228;445.972;2020-02-04
2020-02-04;1720;921979-1;Уголок 32х32х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;506.184;0.0;506.184;Центральный склад;2020-02-19;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7586.52;7080.336;506.184;2020-02-04
2020-02-04;1723;921979-1;Уголок 70х70х6 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;642.474;0.0;642.474;Центральный склад;2020-02-19;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;30748.68;30106.206000000002;642.474;2020-02-04
2020-02-04;1726;921979-1;Уголок 125х125х9 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;578.348;0.0;578.348;Центральный склад;2020-02-19;Уголок 125х125х9 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;8719.2;8140.852000000001;578.348;2020-02-04
2020-02-04;1727;921979-1;Швеллер 12 П ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;0.0;61.936;0.0;61.936;Центральный склад;2020-02-19;Швеллер 12 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;1497.6;1435.664;61.936;2020-02-04
2020-02-05;3859;0022-1;Круг 30 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.0;19.733;0.0;19.733;Центральный склад;2020-02-19;Круг 30 ГОСТ 2590-2006 45 ГОСТ 1050-88;27.0;7.2669999999999995;19.733;2020-02-05
2020-02-05;213;921719-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.352;0.0;0.352;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;195.78;195.428;0.352;2020-02-05
2020-02-05;215;921719-1;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;444.928;0.0;444.928;Центральный склад;2020-02-19;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1081.53;636.602;444.928;2020-02-05
2020-02-05;219;921719-1;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;19.184;0.0;19.184;Центральный склад;2020-02-19;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7080.336;7061.152;19.184;2020-02-05
2020-02-05;221;921719-1;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;34.784;0.0;34.784;Центральный склад;2020-02-19;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;8278.92;8244.136;34.784;2020-02-05
2020-02-05;222;921719-1;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;385.472;0.0;385.472;Центральный склад;2020-02-19;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;29685.36;29299.888;385.472;2020-02-05
2020-02-05;224;921719-1;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;1316.424;0.0;1316.424;Центральный склад;2020-02-19;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;16882.32;15565.896;1316.424;2020-02-05
2020-02-07;4084;0023-1;Гайка М27-6h.5.Гл ГОСТ 5915-70;0.0;18.054;0.0;18.054;Центральный склад;2020-02-19;Гайка М27-6h.5.Гл ГОСТ 5915-70;448.574;430.52000000000004;18.054;2020-02-07
2020-02-07;227;921719-2;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.352;0.0;0.352;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;195.428;195.076;0.352;2020-02-07
2020-02-07;231;921719-2;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;90.365;0.0;90.365;Центральный склад;2020-02-19;Лист 4 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;8760.6;8670.235;90.365;2020-02-07
2020-02-07;235;921719-2;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;330.704;0.0;330.704;Центральный склад;2020-02-19;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;8244.136;7913.432000000001;330.704;2020-02-07
2020-02-07;641;921991-5;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.484;0.0;0.484;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;195.076;194.59199999999998;0.484;2020-02-07
2020-02-07;642;921991-5;Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;101.707;0.0;101.707;Центральный склад;2020-02-19;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;636.602;534.895;101.707;2020-02-07
2020-02-07;646;921991-5;Уголок 63х63х5 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;6453.244;0.0;6453.244;Центральный склад;2020-02-19;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 27772-2015;9235.2;2781.956000000001;6453.244;2020-02-07
2020-02-07;648;921991-5;Уголок 90х90х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;943.926;0.0;943.926;Центральный склад;2020-02-19;Уголок 90х90х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;3123.36;2179.434;943.926;2020-02-07
2020-02-07;649;921991-5;Уголок 100х100х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;423.57;0.0;423.57;Центральный склад;2020-02-19;Уголок 100х100х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;8246.797;7823.227000000001;423.57;2020-02-07
2020-02-07;650;921991-5;Уголок 80х80х6 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;739.2;0.0;739.2;Центральный склад;2020-02-19;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;17045.76;16306.559999999998;739.2;2020-02-07
2020-02-08;80;921753-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.057;0.0;0.057;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;194.59199999999998;194.535;0.057;2020-02-08
2020-02-08;81;921753-1;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;98.052;0.0;98.052;Центральный склад;2020-02-19;Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;2945.228;2847.176;98.052;2020-02-08
2020-02-08;86;921753-1;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;48.909;0.0;48.909;Центральный склад;2020-02-19;Лист 10 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;18369.0;18320.091;48.909;2020-02-08
2020-02-08;87;921753-1;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;1.296;0.0;1.296;Центральный склад;2020-02-19;Лист 4 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;8670.235;8668.939;1.296;2020-02-08
2020-02-08;89;921753-1;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;19.81;0.0;19.81;Центральный склад;2020-02-19;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7913.432000000001;7893.622;19.81;2020-02-08
2020-02-08;91;921753-1;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.744;0.0;0.744;Центральный склад;2020-02-19;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;15393.84;15393.096;0.744;2020-02-08
