Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Статус;Изделие.Вид номенклатуры;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
2218;021218;1;2020-07-29;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;347.574;347.574;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2217;021218;1;2020-07-29;00000011275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;386.309;386.309;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2214;021218;1;2020-07-29;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;4.525;4.525;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2219;021218;1;2020-07-29;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;659.553;0.0;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2220;021218;1;2020-07-29;00000015428;Уголок 35х35х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;220.275;220.275;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2221;021218;1;2020-07-29;00-00000512;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1406.8;1406.8;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2222;021218;1;2020-07-29;00-00002762;Табличка 63х80 12Х18Н10Т;0.06;0.0;0.0;0.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2213;021218;1;2020-07-29;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;16.35;16.35;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2212;021218;1;2020-07-29;00000011280;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;315.008;0.0;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2211;021218;1;2020-07-29;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;334.267;334.267;0.0;1.0;0.0;ТАВРИДА ЭЛЕКТРИК НОВОСИБИРСК ООО;Договор № 38/06-20 от 09.06.2020, Спецификация №2 от 25.06.2020;2020-07-29 00:00:00;0.0;2020-07-28 00:00:00;Портал ячейковый ПСТ-110Я1 Проект: 3.407.2-162 Проект: 024-048-АС;К производству;Продукция;021218-1;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
